bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
158,0.8250000000000002,0.8375000000000001,[1.936252141879688576498609578822621318238933899 +/- 3.92e-46],1.9362521418796885,True,916,105,193,176,16,12,[527.645293895759869313661237139 +/- 9.73e-29]
159,0.8375000000000001,0.8500000000000001,[1.906345535388689921560181012678722764699418236 +/- 5.90e-46],1.90634553538869,True,1085,132,227,200,16,11,[709.877242014348103396506174499 +/- 1.29e-28]
160,0.8500000000000001,0.8625,[1.876665403879974364150161080093542221317466297 +/- 2.32e-46],1.8766654038799744,True,949,39,251,199,14,12,[519.284865255094412980742622883 +/- 4.80e-28]
161,0.8625,0.875,[1.847062093771850825759024502038761534029176425 +/- 6.25e-46],1.847062093771851,True,709,25,184,158,12,10,[524.242757435702474756754122887 +/- 3.07e-28]
162,0.875,0.8875000000000002,[1.809398229234657439574004074046305453294606003 +/- 5.92e-46],1.8093982292346575,True,1019,65,328,133,16,11,[804.290290108827968744855237148 +/- 4.22e-28]
163,0.8875000000000002,0.9000000000000001,[1.766273048394298715179565657098032290017143385 +/- 5.05e-46],1.7662730483942988,True,1011,60,324,138,16,12,[675.787904082115998872533918844 +/- 4.09e-28]
164,0.9000000000000001,0.9125000000000001,[1.725370749389506713082188689242704693373783395 +/- 6.15e-46],1.7253707493895067,True,1055,62,339,143,16,12,[616.974146353347650200167410969 +/- 2.86e-28]
165,0.9125000000000001,0.925,[1.686592056898700079226302185808703414677809487 +/- 7.14e-46],1.6865920568987,True,1111,62,357,153,16,12,[591.519037353869734238130398432 +/- 3.87e-28]
166,0.925,0.9375,[1.649723696514472456473005415345724381803080183 +/- 1.92e-46],1.6497236965144724,True,401,24,113,76,12,11,[419.051414934348878637195638000 +/- 3.39e-29]
167,0.9375,0.9500000000000002,[1.611273489119655470997666297634634951478868003 +/- 3.79e-46],1.6112734891196554,True,625,28,183,116,14,13,[451.202362204033985008984586379 +/- 4.31e-28]
168,0.9500000000000002,0.9625000000000001,[1.571117121283093309374206584328961961040922171 +/- 6.42e-46],1.5711171212830932,True,537,28,156,99,14,13,[560.288971793224605004120613394 +/- 5.93e-29]
169,0.9625000000000001,0.9750000000000001,[1.529361813601161001801877736707395118424561863 +/- 5.68e-46],1.529361813601161,True,963,40,286,176,20,14,[1269.38663972987126000723428456 +/- 2.88e-28]
170,0.9750000000000001,0.9875,[1.488771418615305504618089837142583777378587984 +/- 5.19e-46],1.4887714186153056,True,1143,40,333,219,20,15,[1320.54377562593101373327880027 +/- 1.84e-27]
171,0.9875,1.0,[1.443896838896855110513319335354264051073238233 +/- 5.05e-46],1.4438968388968552,True,1203,44,349,229,20,16,[1588.33224894254235723463230759 +/- 6.23e-29]
